['2018-10-28 23:40:37+00:00'],['SPORT : إلى الشارع !! برشلونة يسجل نتيجة تاريخية أخرى في مرمى ريال مدريد و يتسبب في إقالة لوبتيغي pic.twitter.com/TehN6II4Yd'],['nasronasro1988']
['2018-10-28 23:40:27+00:00'],['كان خايف يوم شاف شوط ثاني ريال مدريد يلعبو ع باب واحد'],['cDkv85sfxFfCYut']
['2018-10-28 23:40:24+00:00'],['نعم مدرب ضعيف مدرب ريال مدريد ورئيس شبع بطولات وماعد عنده جديد بس يااستاذ حسن أعجبتني كلمتك (أيها الغبي)'],['abotalaa78901']
['2018-10-28 23:39:50+00:00'],['الامارات بلد الامن والامان الامارات بلد السلام الامارات بلد الاخوه لكل العالم الامارات اغلا وأحلا واسعد بلد #الامارات_والسعودية_قلب_واحد #ريال_مدريد_برشلونه pic.twitter.com/gowlCRmaAi'],['om4r90']
['2018-10-28 23:39:50+00:00'],['ايه الاسبوع الجميل دا يوڤنتوس ، ليڤربول و الزمالك يكسبو .. ريال مدريد تخسر .. الاهلى يتعادل ..'],['m7mdFaawzy']
['2018-10-28 23:39:40+00:00'],['الفضول الاكبر هو هل سيوقع ريال مدريد مع لاعبين بناء على طلب كونتي في الشتاء او الصيف القادمين ؟؟ وابرز مثال وابرز اسم هازرد حيث ان الخلافات بينهم كبيرة جدا'],['q8_zq8']
['2018-10-28 23:39:32+00:00'],['راح كريستيانو و راح هيبة ريال مدريد'],['Saleemalngar90']
['2018-10-28 23:39:10+00:00'],['البا : بالنسبة لي الفوز على ريال مدريد مثل الفوز بدوري ابطال اوروبا pic.twitter.com/T9cHONihnq'],['vipmadridi84']
['2018-10-28 23:38:57+00:00'],['بيكيه: رفع الخماسية بيدك؟ هذه اللحظات يجب ان استمتع بها مع كل الكوليز، وهذا جزء من المنافسة، عليك ان تعمل بجد لتضرب ريال مدريد بخماسية. pic.twitter.com/xq1jMGDiil'],['Sway4sport']
['2018-10-28 23:38:48+00:00'],['ياعم انا بروش على ريال مدريد اصلا !! مش واخد بالك من الخمسه'],['Nasser11Omar']
['2018-10-28 23:38:46+00:00'],['راه مسخوط عزيز عليه يشوف ريال مدريد خاسرين'],['Teacher1wydadi']
['2018-10-28 23:38:19+00:00'],['برشلونة ( 5 – 1 ) ريال مدريد الدوري الاسباني https://www.kooraarabia.com/66975'],['koora_spain']
['2018-10-28 23:38:16+00:00'],['خورخي فالديانو: "روبرتو مارتينيز اعتقد فكره أفضل ، واعتقد انه سيكون أكثر تكيفاً مع ريال مدريد." pic.twitter.com/zvSr38gHx3'],['omar_alshbrm']
['2018-10-28 23:38:15+00:00'],['٥وبدووونن #ميسي بررششاا #برشا #برشلونه_ريال_مدريد'],['iix34__']
